component,i,j,value
0,0,0,0.35673832196971755
0,0,1,0.12313464460142744
0,0,2,0.3501876611447067
0,0,3,0.2800823397696662
0,0,4,0.055673779010030934
0,0,5,0.12352205575442589
0,0,6,0.13443008365042122
0,0,7,0.23915214374232302
0,0,8,-0.1533003738651425
0,0,9,-0.29062372266575687
0,0,10,0.12211245207620919
0,0,11,-0.027962787115104828
0,0,12,0.10918077698980318
0,0,13,0.1513272167881573
0,0,14,-0.22267312613033977
0,0,15,0.11097516372926033
0,0,16,-0.1316879814745342
0,0,17,0.0632883433248158
0,0,18,-0.21201995879121502
0,0,19,0.12871610562925642
0,0,20,0.2739612694470729
0,0,21,0.07410333615422157
0,0,22,0.2637233408618385
0,0,23,0.1945263720451297
0,0,24,-0.05246826385429477
0,0,25,0.06169466176387531
0,0,26,0.006704176989293734
0,0,27,0.1565527731368541
0,0,28,-0.19479226105523142
0,0,29,-0.11728793248257245
0,0,30,-0.27503501658892604
0,0,31,0.27503501658892604
0,1,0,0.12313464460142744
0,1,1,0.4481837054353443
0,1,2,0.12399571794493863
0,1,3,0.11109510811040715
0,1,4,-0.1863256655750212
0,1,5,0.02533934526205622
0,1,6,0.17570371293821757
0,1,7,0.05807416174079481
0,1,8,-0.23260863994264128
0,1,9,-0.13804035754813446
0,1,10,0.17611528972843174
0,1,11,0.2470244208454357
0,1,12,0.14779394954297478
0,1,13,0.1359274488534325
0,1,14,0.12299789900448509
0,1,15,0.12979013349116186
0,1,16,0.2226466576284787
0,1,17,0.1257737802090767
0,1,18,0.1277188868419257
0,1,19,0.11242895622817035
0,1,20,0.12071556650044145
0,1,21,0.4339262009678553
0,1,22,0.12086398323435879
0,1,23,0.09843742806656096
0,1,24,0.00411875997543774
0,1,25,0.0379749688067769
0,1,26,0.16515937324942565
0,1,27,0.10292996950835023
0,1,28,-0.03244278426784532
0,1,29,-0.019705674361310807
0,1,30,-0.3335809142384957
0,1,31,0.3335809142384957
0,2,0,0.3501876611447067
0,2,1,0.12399571794493863
0,2,2,0.3446442638674959
0,2,3,0.27550619371734003
0,2,4,0.04730056063516175
0,2,5,0.13109094010179986
0,2,6,0.14221389613806382
0,2,7,0.23472644706982668
0,2,8,-0.15949084828198065
0,2,9,-0.2687121275517059
0,2,10,0.12033214732438338
0,2,11,-0.03698395922641105
0,2,12,0.1052747604840738
0,2,13,0.14965450287544219
0,2,14,-0.2251414141103513
0,2,15,0.13743196400853389
0,2,16,-0.10004137867562751
0,2,17,0.07376049901346285
0,2,18,-0.19808708695341365
0,2,19,0.15758587048165046
0,2,20,0.2694969058738164
0,2,21,0.07509158825903114
0,2,22,0.25987529377309776
0,2,23,0.19177846135605536
0,2,24,-0.05356283785723999
0,2,25,0.06846185357145056
0,2,26,0.018922371872894347
0,2,27,0.1577276744705138
0,2,28,-0.1884469193175852
0,2,29,-0.10236228966653925
0,2,30,-0.2716209647890836
0,2,31,0.2716209647890836
0,3,0,0.2800823397696662
0,3,1,0.11109510811040715
0,3,2,0.27550619371734003
0,3,3,0.22237430006939135
0,3,4,0.033593911810589946
0,3,5,0.09690304377362623
0,3,6,0.12061339674196002
0,3,7,0.18801343806312612
0,3,8,-0.11858012526708187
0,3,9,-0.22387220578571282
0,3,10,0.10800896781593437
0,3,11,-0.013567414836898046
0,3,12,0.09114348208393717
0,3,13,0.12765307037425258
0,3,14,-0.16963964703322015
0,3,15,0.10632803608172013
0,3,16,-0.06892806435070573
0,3,17,0.06246342432362174
0,3,18,-0.1345833317457282
0,3,19,0.11936947895595101
0,3,20,0.21538057701282912
0,3,21,0.06649420518476991
0,3,22,0.20709341369738912
0,3,23,0.1551941147210136
0,3,24,-0.05052945755354883
0,3,25,0.044704645636679044
0,3,26,0.017120304160179955
0,3,27,0.12131214543950906
0,3,28,-0.14660871851239551
0,3,29,-0.0925253080516762
0,3,30,-0.23061278049055117
0,3,31,0.23061278049055117
0,4,0,0.055673779010030934
0,4,1,-0.1863256655750212
0,4,2,0.04730056063516175
0,4,3,0.033593911810589946
0,4,4,0.8914946255522943
0,4,5,-0.0230349830429988
0,4,6,-0.08176392219935612
0,4,7,0.13338109851214897
0,4,8,0.14482219808731636
0,4,9,0.023940444441476725
0,4,10,-0.045013843687812714
0,4,11,-0.26640814225026116
0,4,12,0.0353133230657653
0,4,13,-0.023631883152841166
0,4,14,0.3250298448334799
0,4,15,-0.5155321305387438
0,4,16,-0.4295004642433461
0,4,17,-0.1389151329791064
0,4,18,-0.18879067898105475
0,4,19,-0.5754598232999119
0,4,20,0.03886732224720399
0,4,21,-0.1939156486508274
0,4,22,0.03421365214594187
0,4,23,0.016996940073965957
0,4,24,0.6264210294510473
0,4,25,-0.052025657543150604
0,4,26,-0.12589981971870184
0,4,27,0.05822023726141112
0,4,28,0.054520420150010476
0,4,29,-0.05946339443737694
0,4,30,0.006410245521769148
0,4,31,-0.006410245521769148
0,5,0,0.12352205575442589
0,5,1,0.02533934526205622
0,5,2,0.13109094010179986
0,5,3,0.09690304377362623
0,5,4,-0.0230349830429988
0,5,5,0.22435243847508826
0,5,6,0.20357112043044534
0,5,7,0.09842996135040127
0,5,8,-0.1286953191612768
0,5,9,0.15536096052859244
0,5,10,0.002624593607730309
0,5,11,-0.26285000781502216
0,5,12,-0.03198173540716083
0,5,13,0.027960973178468216
0,5,14,-0.26437714997670536
0,5,15,0.4314973686881109
0,5,16,0.409803118762959
0,5,17,0.19610873305713605
0,5,18,-0.016681190765935466
0,5,19,0.41727851515154457
0,5,20,0.11080873845103194
0,5,21,0.012591165875203716
0,5,22,0.10540033128969392
0,5,23,0.07298727983920962
0,5,24,0.018608285468982463
0,5,25,0.2144531167245926
0,5,26,0.2519748740780482
0,5,27,0.17135325386477668
0,5,28,0.06065386777551936
0,5,29,0.18575091485220926
0,5,30,-0.05663097276702493
0,5,31,0.05663097276702493
0,6,0,0.13443008365042122
0,6,1,0.17570371293821757
0,6,2,0.14221389613806382
0,6,3,0.12061339674196002
0,6,4,-0.08176392219935612
0,6,5,0.20357112043044534
0,6,6,0.6005877976106231
0,6,7,0.19433583244964145
0,6,8,-0.1849404734495717
0,6,9,0.09054425668297827
0,6,10,0.008439161856812812
0,6,11,-0.047307419654650205
0,6,12,-0.03927834094232053
0,6,13,0.04961296184901142
0,6,14,-0.22796089935447597
0,6,15,0.6353847515288134
0,6,16,1.3197537059898965
0,6,17,0.6004553567228201
0,6,18,0.09931576183066051
0,6,19,0.3670520280710299
0,6,20,0.12085724201531697
0,6,21,0.18092544921978207
0,6,22,0.11181500659488512
0,6,23,0.09340383040864712
0,6,24,0.014111813558765535
0,6,25,0.27613018822939206
0,6,26,0.760205328546447
0,6,27,0.3515990305958134
0,6,28,0.19155791609379472
0,6,29,0.2154622432973474
0,6,30,-0.20331839567862084
0,6,31,0.20331839567862084
0,7,0,0.23915214374232302
0,7,1,0.05807416174079481
0,7,2,0.23472644706982668
0,7,3,0.18801343806312612
0,7,4,0.13338109851214897
0,7,5,0.09842996135040127
0,7,6,0.19433583244964145
0,7,7,0.2592106700389321
0,7,8,-0.11904511257310531
0,7,9,-0.19591900821663275
0,7,10,0.1108010749369245
0,7,11,-0.01135750309752324
0,7,12,0.0716960733198674
0,7,13,0.11225521333759832
0,7,14,-0.1411749382321273
0,7,15,0.13821534012109882
0,7,16,0.1010621542051853
0,7,17,0.20172400820645922
0,7,18,-0.14348053142858072
0,7,19,0.09495769017725238
0,7,20,0.185834689936938
0,7,21,0.03193127987071986
0,7,22,0.17202362993494982
0,7,23,0.1281489184527573
0,7,24,0.011176227354334744
0,7,25,0.08192391045237794
0,7,26,0.1324401973300859
0,7,27,0.20798334849416533
0,7,28,-0.09070780126141878
0,7,29,-0.05781090877003379
0,7,30,-0.14408963254333476
0,7,31,0.14408963254333476
0,8,0,-0.1533003738651425
0,8,1,-0.23260863994264128
0,8,2,-0.15949084828198065
0,8,3,-0.11858012526708187
0,8,4,0.14482219808731636
0,8,5,-0.1286953191612768
0,8,6,-0.1849404734495717
0,8,7,-0.11904511257310531
0,8,8,0.9263919230298389
0,8,9,0.03600228548088755
0,8,10,0.07060500914468469
0,8,11,-0.11316441236996941
0,8,12,0.09858534283535807
0,8,13,-0.00995520594786444
0,8,14,-0.13377018440356306
0,8,15,-0.3648091237287214
0,8,16,-0.22459431504182978
0,8,17,-0.2334506291322624
0,8,18,0.23727468992088577
0,8,19,-0.29686766977765705
