0,1,2
1.9758915110231492e-200,1.0,0.0
0.0,1.0,0.0
2.520892449732659e-187,1.0,0.0
1.0,3.474563617680976e-21,0.0
3.4833560393897535e-283,1.0,0.0
0.0007439995132343063,0.999256000486765,0.0
7.763929212308715e-111,1.0,0.0
1.1044463401501949e-40,1.0,0.0
3.3270529250828034e-13,0.9999999999996678,0.0
1.0,5.3016586364468806e-27,0.0
1.8562598957966874e-55,1.0,0.0
7.184928301819927e-29,1.0,0.0
3.4151412226517813e-189,1.0,0.0
4.347243106308162e-24,1.0,0.0
5.455209542632576e-06,0.9999945447904574,0.0
0.999943052691264,5.6947308736130494e-05,0.0
5.532669583351163e-28,1.0,0.0
6.08698587641084e-36,1.0,0.0
0.0,1.0,0.0
1.0570903442002144e-14,0.0,0.9999999999999893
5.741474430282238e-18,0.0,1.0
1.188131542426388e-15,0.0,1.0
4.952792716539337e-11,0.9999999999504725,0.0
0.0,1.0,0.0
1.2234502e-316,1.0,0.0
4.815880655841915e-40,1.0,0.0
6.450620978127007e-48,1.0,0.0
9.514876067231337e-116,1.0,0.0
0.9978792017076007,0.0021207982923991757,0.0
2.9048107688387152e-121,1.0,0.0
5.047821286054009e-62,1.0,0.0
0.9999999956686656,4.331334688957501e-09,0.0
6.24192051759904e-33,1.0,0.0
3.084568539761517e-150,1.0,0.0
2.5249151979144188e-31,1.0,0.0
1.0421674140169409e-94,1.0,0.0
2.7317192267783662e-30,1.0,0.0
4.852091067261861e-37,0.0,1.0
8.658691858795575e-162,1.0,0.0
2.1794164538185365e-40,1.0,0.0
6.231912494583273e-36,1.0,0.0
8.589704213610163e-37,1.0,0.0
3.176431551490442e-49,1.0,0.0
2.244742008601279e-22,1.0,0.0
1.550755652198549e-20,1.0,0.0
4.995386671428657e-113,1.0,0.0
2.6789845257025054e-24,0.0,1.0
7.459536614555084e-16,1.0,0.0
1.688707956680056e-19,0.0,1.0
5.494523995496958e-19,0.0,1.0
8.550003598108919e-19,0.0,1.0
6.997454091228133e-37,0.0,1.0
3.82579218233763e-22,0.0,1.0
5.650110895287684e-95,1.0,0.0
1.798215964328424e-50,1.0,0.0
9.701191603615388e-29,0.0,1.0
7.863877933413277e-251,1.0,0.0
5.1252395563832317e-20,1.0,0.0
2.641825565291678e-32,0.0,1.0
1.6012449199667465e-60,0.0,1.0
1.3956701266499218e-64,0.0,1.0
1.355080018211678e-37,0.0,1.0
0.9994980128563161,0.0005019871436837659,0.0
8.007823543602412e-08,0.0,0.9999999199217645
1.906639627521546e-13,0.9999999999998099,0.0
1.5039001804131445e-10,0.9999999998496101,0.0
5.857694111529579e-16,0.0,1.0
5.166801471697056e-18,0.0,1.0
1.0,0.0,8.137211791791125e-246
2.8111299678677444e-17,0.0,1.0
1.8456259193945302e-129,1.0,0.0
1.0,0.0,3.163949588271224e-171
3.615668132059082e-130,1.0,0.0
6.667503719148414e-27,1.0,0.0
5.316789817648743e-16,0.0,1.0
3.6196605401268454e-28,1.0,0.0
1.0287777531671835e-32,0.0,1.0
3.1091147838955352e-114,1.0,0.0
1.0,1.715630520203332e-37,0.0
1.695620377986862e-19,0.0,1.0
3.983865834977003e-21,0.0,1.0
1.0,0.0,9.21272416636428e-52
0.0,1.0,0.0
8.930286806110472e-235,1.0,0.0
1.6849197409652716e-16,0.0,1.0
2.058647834624422e-122,1.0,0.0
1.3792449933828726e-31,1.0,0.0
4.207180859316908e-98,1.0,0.0
6.955167979333441e-16,0.0,1.0
8.112408161458949e-16,0.0,1.0
2.5350267959861873e-21,0.0,1.0
8.1395983667784e-21,1.0,0.0
8.972532763333285e-15,0.0,0.9999999999999911
4.556045244625066e-16,0.0,1.0
1.0617622988691286e-18,1.0,0.0
4.4661788070941834e-182,1.0,0.0
2.0943192265526204e-14,0.0,0.9999999999999787
4.242550799358749e-23,0.0,1.0
2.5816240276763428e-26,0.0,1.0
2.5885453771887495e-33,1.0,0.0
2.5340409444221395e-19,1.0,0.0
3.04845663110373e-28,0.0,1.0
6.70374521419852e-24,0.0,1.0
2.252221058326578e-15,0.0,0.9999999999999964
5.762249456985831e-52,0.0,1.0
0.9999038123791305,9.618762086960542e-05,0.0
5.256355188549747e-14,0.0,0.9999999999999467
5.18802640467654e-16,0.0,1.0
0.0,1.0,0.0
2.3248160132021244e-24,0.0,1.0
3.633805110135685e-15,0.0,0.9999999999999964
7.23448540195736e-07,0.0,0.9999992765514595
1.0,0.0,5.345608811225916e-90
1.904799415474995e-43,0.0,1.0
2.521510584039496e-22,0.0,1.0
1.4065744181446656e-19,0.0,1.0
1.0,0.0,2.52697868041686e-29
7.1018137801022106e-15,0.9999999999999929,0.0
1.436840238017772e-31,1.0,0.0
6.4282573774518816e-114,1.0,0.0
4.573314637070743e-33,0.0,1.0
1.0846946945736312e-118,1.0,0.0
0.0,1.0,0.0
1.0203451854170354e-28,0.0,1.0
1.5095164389713903e-12,0.0,0.9999999999984901
2.7527704738760833e-18,0.0,1.0
2.3325597083374986e-18,1.0,0.0
2.259323746456607e-131,1.0,0.0
0.9999187570387453,0.0,8.124296125478541e-05
9.441092209584866e-150,1.0,0.0
7.309305519384307e-11,0.0,0.9999999999269065
3.0306210058823363e-13,0.9999999999996962,0.0
3.330533036217581e-22,1.0,0.0
8.066777575888346e-35,0.0,1.0
7.303176356230318e-136,1.0,0.0
5.0921000167540896e-24,1.0,0.0
1.1791277453900912e-28,0.0,1.0
4.3843771843783375e-17,0.0,1.0
7.857663124015041e-62,1.0,0.0
5.2152099044333665e-14,0.0,0.9999999999999478
3.5205708568636104e-23,0.0,1.0
7.323191128588221e-26,1.0,0.0
9.242388005056427e-18,0.0,1.0
4.524218617149376e-17,0.0,1.0
8.802387393342063e-22,0.0,1.0
2.800608589121479e-20,0.0,1.0
0.9999999595557599,4.0444240299403904e-08,0.0
0.9997902751888463,0.0,0.00020972481115368274
4.711309378634248e-19,0.0,1.0
1.0871802971401833e-16,0.0,1.0
2.6163792494851606e-75,0.0,1.0
1.0,0.0,2.2487292321304214e-17
1.0,0.0,0.0
1.7404994362864297e-16,0.0,1.0
6.818359557045563e-27,0.0,1.0
2.087238712608684e-14,0.0,0.9999999999999787
6.718119897552814e-32,1.0,0.0
1.093555478298313e-66,0.0,1.0
2.274189602471765e-19,0.0,1.0
8.020907716270826e-34,0.0,1.0
7.95693325888265e-48,0.0,1.0
1.1153039276148876e-177,1.0,0.0
8.51909808359527e-266,1.0,0.0
6.355939473832109e-23,0.0,1.0
0.0,1.0,0.0
8.716271455360595e-19,0.0,1.0
6.633017866778372e-30,0.0,1.0
2.4555926724256455e-39,1.0,0.0
4.471349033906358e-69,1.0,0.0
3.48618145401504e-18,0.0,1.0
2.6401020953477363e-14,0.0,0.9999999999999751
1.0143314973983775e-15,0.9999999999999982,0.0
5.561147233123742e-26,1.0,0.0
3.725220621090053e-40,0.0,1.0
1.3781016884187104e-50,0.0,1.0
1.8287366176111808e-20,0.0,1.0
1.0,0.0,5.73988549646199e-50
1.6090427477358658e-68,1.0,0.0
3.655608540022314e-19,0.0,1.0
9.57166435705041e-16,0.0,1.0
0.0,1.0,0.0
8.604547738516095e-255,1.0,0.0
2.451082167797081e-28,1.0,0.0
1.0056783890763752e-08,0.0,0.9999999899432161
2.990872813570654e-57,1.0,0.0
